 nombre_local; direccion; codigo_postal; ciudad; clientes_mensuales; telefono; numero_empleados; numero_platos_menu
  verduras fresco; Plaza de Espanya, 121; 69382; Sevilla; 997258; +34 666 687 456; 32; 62
  postres seductor; Paseo de Gracia, 6631; 66372; Valencia; 105718; +34 666 328 456; 14; 87
  verduras moderno; Calle Mayor, 2801; 27670; Barcelona; 610958; +34 666 234 456; 7; 31
  pizzeria diferente; Paseo de Gracia, 141; 66755; Zaragoza; 10847; +34 666 739 456; 85; 2
  horneados exotico; Calle Mayor, 1951; 34767; Bilbao; 685372; +34 666 503 456; 58; 58
  frios gourmet; Plaza del Sol, 1701; 20120; Madrid; 156221; +34 666 471 456; 5; 74
  verduras rico; Plaza del Sol, 9031; 66681; Murcia; 528789; +34 666 83 456; 20; 4
  pizzeria moderno; Plaza del Sol, 2841; 60319; Sevilla; 437196; +34 666 586 456; 19; 34
  veganos economico; Calle Mayor, 2661; 43256; Malaga; 729741; +34 666 439 456; 80; 32
  verduras sabroso; Plaza del Sol, 4801; 35817; Valencia; 417512; +34 666 125 456; 100; 37
  verduras delicioso; Calle Mayor, 5301; 17510; Alicante; 183492; +34 666 254 456; 21; 68
  pizzeria con encanto; Calle Mayor, 5721; 64988; Sevilla; 641675; +34 666 310 456; 76; 77
  sopas rico; Calle Mayor, 6901; 35895; Bilbao; 872919; +34 666 716 456; 42; 43
  tacos rico; Paseo de Gracia, 4881; 35634; Malaga; 624688; +34 666 636 456; 4; 20
  guisos fresco; Avenida de la Paz, 9791; 39818; Bilbao; 784999; +34 666 901 456; 79; 59
  vegetarianos sano; Paseo de Gracia, 8641; 64566; Madrid; 815820; +34 666 570 456; 80; 30
  sopas tradicional; Avenida de la Paz, 2711; 51218; Barcelona; 67889; +34 666 829 456; 39; 4
  vegetarianos original; Avenida de la Paz, 8041; 52314; Madrid; 486501; +34 666 205 456; 70; 68
  pizzeria apetitoso; Avenida de la Paz, 3461; 68064; Zaragoza; 849653; +34 666 821 456; 18; 74
  carne atractivo; Paseo de Gracia, 3371; 64646; Sevilla; 264868; +34 666 406 456; 71; 54
  guisos original; Avenida de la Paz, 8761; 67837; Bilbao; 454681; +34 666 20 456; 13; 86
  pasta delicioso; Plaza de Espanya, 2161; 26486; Malaga; 21317; +34 666 445 456; 4; 95
  calientes apetitoso; Paseo de Gracia, 9801; 16436; Valencia; 555146; +34 666 467 456; 81; 96
  sushi exotico; Plaza de Espanya, 2631; 24555; Murcia; 661002; +34 666 89 456; 98; 42
  veganos moderno; Avenida de la Paz, 1951; 37951; Madrid; 371177; +34 666 22 456; 40; 68
  postres delicioso; Plaza del Sol, 961; 68335; Madrid; 667477; +34 666 153 456; 71; 10
  frios fresco; Plaza de Espanya, 7401; 27354; Murcia; 634392; +34 666 696 456; 74; 32
  tacos delicioso; Plaza de Espanya, 5601; 10192; Madrid; 57777; +34 666 568 456; 46; 85
  guisos tradicional; Calle Mayor, 5421; 26256; Alicante; 943839; +34 666 99 456; 60; 41
  frutas creativo; Plaza de Espanya, 7891; 27732; Barcelona; 289100; +34 666 82 456; 16; 80
  salados seductor; Calle Mayor, 5951; 61402; Malaga; 54434; +34 666 69 456; 44; 32
  pollo atractivo; Calle Mayor, 6361; 14936; Madrid; 989807; +34 666 155 456; 80; 31
  carne rico; Calle Mayor, 3961; 63872; Murcia; 572492; +34 666 616 456; 36; 96
  bebidas vegetariano; Paseo de Gracia, 4581; 40227; Valencia; 404127; +34 666 67 456; 81; 89
  pizzeria casero; Avenida de la Paz, 7081; 11090; Barcelona; 552635; +34 666 193 456; 25; 1
  hamburgueseria vegano; Calle Mayor, 2481; 39618; Valencia; 225592; +34 666 591 456; 100; 49
  bar rico; Calle Mayor, 5661; 19869; Alicante; 521747; +34 666 81 456; 16; 38
  falafel diferente; Paseo de Gracia, 6951; 47651; Alicante; 969757; +34 666 849 456; 37; 88
  hamburgueseria moderno; Avenida de la Paz, 8171; 33270; Sevilla; 105141; +34 666 930 456; 53; 48
  frutas delicioso; Avenida de la Paz, 2251; 46882; Sevilla; 254179; +34 666 725 456; 83; 90
  pizzeria gourmet; Calle Mayor, 1061; 10866; Malaga; 543236; +34 666 103 456; 16; 94
  veganos diferente; Paseo de Gracia, 7341; 12954; Malaga; 383318; +34 666 504 456; 89; 58
  restaurante nutritivo; Calle Mayor, 6951; 56971; Murcia; 640892; +34 666 582 456; 50; 80
  pollo moderno; Paseo de Gracia, 2731; 57131; Sevilla; 295673; +34 666 244 456; 71; 51
  picantes seductor; Plaza del Sol, 5371; 59606; Alicante; 380161; +34 666 82 456; 54; 55
  bebidas tradicional; Plaza del Sol, 1631; 26721; Sevilla; 789780; +34 666 783 456; 22; 98
  verduras familiar; Plaza de Espanya, 4271; 67629; Zaragoza; 194162; +34 666 947 456; 30; 12
  picantes seductor; Plaza del Sol, 6531; 25846; Murcia; 5370; +34 666 363 456; 97; 63
  verduras original; Avenida de la Paz, 8201; 22217; Alicante; 800048; +34 666 958 456; 61; 31
  ensaladas sabroso; Plaza de Espanya, 3591; 39641; Sevilla; 401232; +34 666 354 456; 51; 99
  bebidas fresco; Plaza del Sol, 8951; 16251; Alicante; 871398; +34 666 96 456; 16; 55
  dulces seductor; Avenida de la Paz, 4731; 24118; Barcelona; 859993; +34 666 759 456; 89; 23
  frutas casero; Plaza del Sol, 9001; 22791; Malaga; 551607; +34 666 858 456; 15; 27
  sushi innovador; Plaza de Espanya, 6421; 60040; Bilbao; 287626; +34 666 401 456; 87; 41
  tacos tradicional; Plaza del Sol, 951; 38344; Sevilla; 302279; +34 666 789 456; 78; 96
  restaurante delicioso; Paseo de Gracia, 1261; 57485; Alicante; 213243; +34 666 783 456; 46; 1
  veganos sabroso; Paseo de Gracia, 7721; 22834; Murcia; 791889; +34 666 82 456; 41; 13
  falafel creativo; Calle Mayor, 6061; 29989; Valencia; 694201; +34 666 405 456; 62; 27
  salados innovador; Calle Mayor, 711; 34084; Malaga; 868614; +34 666 280 456; 29; 28
  postres familiar; Paseo de Gracia, 3051; 47795; Valencia; 340027; +34 666 304 456; 14; 23
  salados rico; Plaza de Espanya, 2221; 18745; Zaragoza; 333886; +34 666 540 456; 57; 27
  picantes diferente; Avenida de la Paz, 651; 19645; Valencia; 840424; +34 666 105 456; 65; 62
  ensaladas exotico; Avenida de la Paz, 1701; 34417; Bilbao; 507800; +34 666 529 456; 93; 30
  guisos delicioso; Plaza de Espanya, 4581; 35484; Valencia; 120901; +34 666 177 456; 7; 91
  guisos apetitoso; Plaza de Espanya, 6821; 50489; Zaragoza; 368471; +34 666 143 456; 89; 80
  postres rico; Plaza de Espanya, 5531; 29275; Zaragoza; 758050; +34 666 71 456; 23; 55
  postres sabroso; Plaza de Espanya, 261; 28138; Murcia; 204999; +34 666 73 456; 84; 74
  postres exotico; Avenida de la Paz, 2171; 50277; Murcia; 4501; +34 666 30 456; 48; 13
  postres creativo; Avenida de la Paz, 1381; 55115; Malaga; 715445; +34 666 785 456; 93; 2
  vegetarianos casero; Paseo de Gracia, 991; 26995; Barcelona; 861388; +34 666 796 456; 4; 88
  fritas exquisito; Plaza del Sol, 7641; 64447; Zaragoza; 420336; +34 666 747 456; 66; 54
  calientes vegano; Avenida de la Paz, 1801; 38242; Bilbao; 370569; +34 666 819 456; 2; 8
  cafeteria apetitoso; Plaza de Espanya, 9571; 66411; Malaga; 840598; +34 666 742 456; 4; 33
  pescado sabroso; Plaza de Espanya, 4671; 31198; Murcia; 315658; +34 666 795 456; 6; 47
  pasta familiar; Calle Mayor, 6961; 13600; Alicante; 921983; +34 666 226 456; 97; 67
  pescado original; Plaza de Espanya, 3721; 26739; Valencia; 288091; +34 666 450 456; 94; 24
  pollo delicioso; Paseo de Gracia, 4701; 37626; Alicante; 899468; +34 666 902 456; 38; 92
  guisos innovador; Paseo de Gracia, 7291; 50489; Sevilla; 11989; +34 666 374 456; 30; 66
  pollo delicioso; Plaza del Sol, 6701; 54110; Madrid; 206361; +34 666 309 456; 26; 91
  veganos original; Plaza del Sol, 7431; 31174; Valencia; 144756; +34 666 349 456; 5; 56
  ensaladas gourmet; Avenida de la Paz, 441; 69834; Barcelona; 131245; +34 666 545 456; 42; 45
  sopas delicioso; Avenida de la Paz, 9311; 51563; Bilbao; 908991; +34 666 729 456; 88; 93
  cafeteria vegano; Plaza de Espanya, 5071; 62331; Alicante; 394173; +34 666 911 456; 94; 29
  pasta innovador; Plaza de Espanya, 5041; 63450; Madrid; 706289; +34 666 369 456; 51; 50
  restaurante creativo; Calle Mayor, 2211; 68252; Barcelona; 340673; +34 666 179 456; 51; 48
  falafel apetitoso; Plaza de Espanya, 9801; 54650; Madrid; 857259; +34 666 174 456; 68; 20
  veganos nutritivo; Plaza del Sol, 4941; 10923; Sevilla; 557379; +34 666 964 456; 68; 40
  sopas familiar; Plaza de Espanya, 3201; 25074; Barcelona; 625925; +34 666 451 456; 10; 57
  veganos exotico; Plaza de Espanya, 231; 44801; Zaragoza; 150077; +34 666 165 456; 35; 33
  dulces rico; Paseo de Gracia, 6731; 47221; Zaragoza; 117872; +34 666 758 456; 16; 19
  frios vegano; Plaza del Sol, 5151; 16451; Murcia; 77440; +34 666 594 456; 92; 26
  carne atractivo; Plaza de Espanya, 8451; 13844; Murcia; 460887; +34 666 815 456; 75; 68
  pollo delicioso; Plaza del Sol, 551; 37124; Malaga; 945239; +34 666 241 456; 36; 79
  bar gourmet; Plaza del Sol, 9991; 37870; Zaragoza; 204020; +34 666 76 456; 46; 22
  pasta original; Calle Mayor, 7541; 13038; Barcelona; 744034; +34 666 581 456; 75; 74
  sushi tentador; Plaza del Sol, 2671; 35180; Alicante; 466829; +34 666 78 456; 98; 79
  restaurante vegano; Plaza de Espanya, 671; 18748; Bilbao; 386872; +34 666 565 456; 3; 87
  falafel exquisito; Plaza de Espanya, 7171; 58745; Zaragoza; 438629; +34 666 344 456; 78; 72
  hamburgueseria fresco; Plaza del Sol, 7641; 42375; Valencia; 543225; +34 666 453 456; 60; 60
  pollo familiar; Plaza de Espanya, 5081; 69384; Alicante; 367995; +34 666 798 456; 24; 23
  postres original; Plaza de Espanya, 1461; 42342; Malaga; 787786; +34 666 679 456; 3; 99
  veganos con encanto; Calle Mayor, 851; 10021; Sevilla; 760804; +34 666 764 456; 47; 38
  calientes rico; Avenida de la Paz, 8491; 20353; Zaragoza; 901089; +34 666 79 456; 31; 12
  pasta vegetariano; Calle Mayor, 6661; 58138; Zaragoza; 955558; +34 666 279 456; 86; 72
  ensaladas fresco; Avenida de la Paz, 4211; 54349; Malaga; 847342; +34 666 736 456; 23; 77
  sushi sano; Paseo de Gracia, 7581; 52624; Zaragoza; 511098; +34 666 574 456; 34; 48
  bebidas innovador; Avenida de la Paz, 4221; 14342; Murcia; 186145; +34 666 393 456; 9; 1
  sopas gourmet; Plaza del Sol, 4991; 18673; Sevilla; 554393; +34 666 326 456; 16; 67
  hamburgueseria original; Avenida de la Paz, 8551; 67869; Barcelona; 42232; +34 666 941 456; 92; 73
  pizzeria con encanto; Plaza de Espanya, 9441; 13995; Barcelona; 331590; +34 666 691 456; 9; 81
  pizzeria sano; Avenida de la Paz, 7901; 65335; Barcelona; 315413; +34 666 393 456; 77; 40
  falafel economico; Paseo de Gracia, 8911; 39156; Zaragoza; 904785; +34 666 831 456; 45; 83
  ensaladas apetitoso; Paseo de Gracia, 4951; 64705; Barcelona; 398966; +34 666 560 456; 66; 39
  bebidas seductor; Calle Mayor, 6561; 10509; Madrid; 938274; +34 666 333 456; 96; 23
  falafel economico; Avenida de la Paz, 3361; 47201; Alicante; 276271; +34 666 756 456; 38; 85
  fritas rico; Plaza de Espanya, 3221; 20217; Alicante; 335230; +34 666 424 456; 49; 37
  vegetarianos nutritivo; Calle Mayor, 6471; 20592; Barcelona; 998419; +34 666 548 456; 96; 72
  hamburgueseria tentador; Plaza del Sol, 4331; 36411; Valencia; 410362; +34 666 716 456; 90; 83
  guisos delicioso; Avenida de la Paz, 8891; 51930; Zaragoza; 573958; +34 666 401 456; 100; 78
  sushi moderno; Plaza del Sol, 3201; 37043; Madrid; 101650; +34 666 878 456; 32; 23
  falafel creativo; Plaza del Sol, 4341; 34139; Malaga; 912354; +34 666 145 456; 28; 99
  horneados sano; Plaza del Sol, 6941; 34811; Alicante; 482505; +34 666 775 456; 33; 97
  pollo vegetariano; Avenida de la Paz, 5241; 27177; Malaga; 702241; +34 666 883 456; 38; 54
  calientes sano; Plaza del Sol, 7181; 44996; Alicante; 250449; +34 666 568 456; 31; 21
  ensaladas delicioso; Plaza del Sol, 1431; 31308; Murcia; 994066; +34 666 924 456; 54; 46
  postres exotico; Paseo de Gracia, 4121; 39518; Sevilla; 730890; +34 666 492 456; 38; 23
  ensaladas familiar; Plaza del Sol, 1481; 13248; Madrid; 984272; +34 666 918 456; 99; 7
  sushi nutritivo; Calle Mayor, 3661; 46302; Zaragoza; 780466; +34 666 647 456; 69; 57
  pescado fresco; Avenida de la Paz, 81; 21374; Murcia; 594562; +34 666 945 456; 39; 43
  fritas casero; Plaza del Sol, 7931; 20242; Bilbao; 215983; +34 666 882 456; 96; 67
  falafel rico; Avenida de la Paz, 1441; 62201; Barcelona; 221585; +34 666 982 456; 15; 78
  guisos apetitoso; Plaza del Sol, 3101; 33922; Zaragoza; 456470; +34 666 815 456; 46; 7
  sopas vegano; Avenida de la Paz, 7551; 49809; Valencia; 325279; +34 666 204 456; 81; 80
  salados sabroso; Calle Mayor, 4621; 24071; Bilbao; 840711; +34 666 826 456; 87; 26
  cafeteria delicioso; Calle Mayor, 1441; 68999; Murcia; 946691; +34 666 601 456; 15; 8
  fritas fresco; Calle Mayor, 5641; 38065; Malaga; 195340; +34 666 701 456; 51; 58
  pasta seductor; Calle Mayor, 3521; 15930; Sevilla; 615052; +34 666 434 456; 8; 86
  vegetarianos creativo; Paseo de Gracia, 5071; 58729; Valencia; 392002; +34 666 320 456; 43; 70
  verduras exotico; Avenida de la Paz, 7111; 29589; Madrid; 260630; +34 666 451 456; 1; 17
  pizzeria familiar; Avenida de la Paz, 3081; 49695; Alicante; 648766; +34 666 878 456; 70; 78
  pescado atractivo; Plaza de Espanya, 6501; 26983; Valencia; 1696; +34 666 187 456; 25; 33
  salados original; Paseo de Gracia, 3221; 63026; Madrid; 13525; +34 666 155 456; 78; 96
  frios delicioso; Plaza del Sol, 4291; 30967; Sevilla; 970218; +34 666 649 456; 64; 55
  fritas delicioso; Avenida de la Paz, 331; 45286; Madrid; 243110; +34 666 642 456; 87; 58
  pescado casero; Avenida de la Paz, 6911; 21397; Valencia; 95913; +34 666 927 456; 39; 35
  guisos atractivo; Paseo de Gracia, 5971; 18732; Zaragoza; 94664; +34 666 943 456; 81; 93
  vegetarianos delicioso; Paseo de Gracia, 6301; 54920; Alicante; 18304; +34 666 787 456; 99; 68
  fritas casero; Avenida de la Paz, 1681; 20812; Valencia; 807839; +34 666 576 456; 25; 62
  ensaladas apetitoso; Avenida de la Paz, 231; 49031; Barcelona; 71020; +34 666 239 456; 22; 3
  pizzeria tentador; Plaza del Sol, 8581; 30759; Bilbao; 34353; +34 666 784 456; 97; 34
  hamburgueseria con encanto; Plaza de Espanya, 9231; 42208; Bilbao; 963733; +34 666 953 456; 27; 73
  salados vegetariano; Calle Mayor, 3141; 41969; Murcia; 581370; +34 666 410 456; 3; 91
  bebidas original; Paseo de Gracia, 1321; 64645; Madrid; 894874; +34 666 365 456; 71; 84
  pasta sabroso; Avenida de la Paz, 1351; 26692; Bilbao; 425930; +34 666 996 456; 65; 36
  salados casero; Avenida de la Paz, 1081; 38663; Alicante; 142595; +34 666 855 456; 72; 46
  sushi vegano; Avenida de la Paz, 1081; 22196; Sevilla; 316071; +34 666 80 456; 27; 45
  bebidas innovador; Avenida de la Paz, 5721; 36489; Madrid; 171537; +34 666 5 456; 58; 67
  veganos fresco; Avenida de la Paz, 681; 57591; Bilbao; 482803; +34 666 362 456; 11; 56
  pollo rico; Calle Mayor, 851; 49766; Malaga; 171985; +34 666 956 456; 59; 69
  picantes sano; Calle Mayor, 5561; 29569; Barcelona; 989699; +34 666 248 456; 93; 10
  pollo exotico; Paseo de Gracia, 9431; 40342; Alicante; 429890; +34 666 274 456; 83; 37
  cafeteria delicioso; Plaza del Sol, 9311; 65855; Madrid; 41870; +34 666 285 456; 45; 88
  postres nutritivo; Plaza del Sol, 4231; 65736; Sevilla; 639054; +34 666 992 456; 12; 7
  guisos exquisito; Paseo de Gracia, 9301; 28583; Zaragoza; 701070; +34 666 615 456; 57; 73
  frios apetitoso; Plaza del Sol, 9461; 33649; Barcelona; 22778; +34 666 864 456; 69; 84
  bebidas innovador; Plaza del Sol, 6051; 41491; Malaga; 816288; +34 666 652 456; 22; 9
  pollo diferente; Plaza del Sol, 261; 27850; Sevilla; 755290; +34 666 727 456; 9; 92
  verduras gourmet; Plaza del Sol, 6531; 35078; Bilbao; 422312; +34 666 492 456; 92; 12
  fritas nutritivo; Calle Mayor, 6801; 29537; Malaga; 301318; +34 666 32 456; 3; 19
  hamburgueseria familiar; Paseo de Gracia, 2231; 56549; Zaragoza; 49222; +34 666 459 456; 90; 32
  salados delicioso; Paseo de Gracia, 1031; 44786; Barcelona; 206003; +34 666 351 456; 38; 23
  pasta delicioso; Calle Mayor, 501; 52174; Malaga; 874026; +34 666 404 456; 18; 72
  cafeteria delicioso; Avenida de la Paz, 661; 31172; Madrid; 208817; +34 666 319 456; 38; 70
  falafel atractivo; Avenida de la Paz, 8301; 52170; Malaga; 756035; +34 666 15 456; 21; 6
  ensaladas gourmet; Plaza de Espanya, 2161; 19537; Zaragoza; 102182; +34 666 119 456; 59; 1
  bebidas atractivo; Plaza de Espanya, 4281; 55475; Madrid; 274009; +34 666 849 456; 49; 79
  carne tentador; Calle Mayor, 5201; 23261; Zaragoza; 771927; +34 666 625 456; 28; 3
  vegetarianos con encanto; Avenida de la Paz, 9571; 29640; Alicante; 881208; +34 666 54 456; 17; 44
  frutas delicioso; Plaza de Espanya, 5121; 60548; Zaragoza; 474902; +34 666 362 456; 78; 43
  frutas seductor; Calle Mayor, 4741; 52502; Valencia; 945201; +34 666 930 456; 50; 80
  guisos fresco; Paseo de Gracia, 1581; 27204; Zaragoza; 950108; +34 666 556 456; 20; 41
  bar vegano; Avenida de la Paz, 8001; 47611; Madrid; 239033; +34 666 919 456; 73; 74
  veganos creativo; Plaza de Espanya, 401; 30455; Alicante; 180279; +34 666 776 456; 40; 48
  carne delicioso; Plaza de Espanya, 4811; 45114; Valencia; 312509; +34 666 800 456; 37; 91
  hamburgueseria familiar; Plaza del Sol, 4451; 35573; Bilbao; 80854; +34 666 866 456; 96; 34
  sopas vegetariano; Avenida de la Paz, 2151; 51023; Alicante; 760492; +34 666 595 456; 64; 46
  sushi vegano; Avenida de la Paz, 4641; 31462; Sevilla; 464407; +34 666 184 456; 26; 25
  bar rico; Calle Mayor, 9581; 56193; Sevilla; 221456; +34 666 262 456; 31; 74
  fritas exotico; Paseo de Gracia, 721; 19415; Barcelona; 761206; +34 666 736 456; 82; 39
  vegetarianos vegetariano; Paseo de Gracia, 2381; 15760; Zaragoza; 685878; +34 666 884 456; 68; 55
  bar atractivo; Paseo de Gracia, 6551; 13701; Madrid; 997121; +34 666 82 456; 92; 5
  sushi innovador; Calle Mayor, 4571; 64799; Alicante; 508124; +34 666 956 456; 78; 51
  carne delicioso; Paseo de Gracia, 1691; 62300; Alicante; 113516; +34 666 876 456; 35; 45
  restaurante delicioso; Plaza del Sol, 3481; 46539; Barcelona; 382643; +34 666 624 456; 51; 59
  tacos innovador; Avenida de la Paz, 6461; 21146; Alicante; 885253; +34 666 190 456; 86; 41
  falafel exquisito; Avenida de la Paz, 2321; 19229; Zaragoza; 374328; +34 666 485 456; 27; 50
  bebidas gourmet; Avenida de la Paz, 4991; 39654; Zaragoza; 366225; +34 666 825 456; 45; 2
  hamburgueseria apetitoso; Paseo de Gracia, 6881; 44335; Zaragoza; 316721; +34 666 173 456; 24; 29
  frios tradicional; Paseo de Gracia, 1261; 45375; Alicante; 681557; +34 666 217 456; 6; 67
  salados diferente; Avenida de la Paz, 4501; 55464; Murcia; 139270; +34 666 388 456; 91; 64
  pescado tradicional; Plaza del Sol, 5781; 23190; Alicante; 835191; +34 666 514 456; 15; 73
  sopas seductor; Plaza de Espanya, 7801; 64290; Malaga; 993294; +34 666 941 456; 26; 47
  hamburgueseria creativo; Paseo de Gracia, 6131; 59562; Murcia; 415676; +34 666 307 456; 41; 89
  cafeteria seductor; Plaza del Sol, 9531; 39066; Valencia; 258855; +34 666 835 456; 16; 50
  postres tentador; Calle Mayor, 7681; 41504; Valencia; 367390; +34 666 456 456; 95; 98
  calientes delicioso; Paseo de Gracia, 8501; 34737; Zaragoza; 253410; +34 666 696 456; 11; 27
  frios rico; Paseo de Gracia, 491; 11167; Zaragoza; 400344; +34 666 67 456; 15; 36
  pizzeria original; Avenida de la Paz, 2071; 34666; Madrid; 636375; +34 666 729 456; 44; 68
  tacos apetitoso; Plaza del Sol, 4631; 12590; Malaga; 638210; +34 666 731 456; 40; 68
  pasta nutritivo; Calle Mayor, 1121; 31655; Alicante; 455816; +34 666 24 456; 10; 42
  pizzeria seductor; Plaza del Sol, 1951; 61376; Barcelona; 166868; +34 666 894 456; 42; 95
  verduras con encanto; Calle Mayor, 1131; 16634; Bilbao; 708288; +34 666 823 456; 63; 75
  veganos exquisito; Plaza del Sol, 1071; 37863; Zaragoza; 497150; +34 666 246 456; 23; 3
  calientes diferente; Calle Mayor, 6801; 32749; Zaragoza; 800001; +34 666 386 456; 21; 95
  pizzeria creativo; Calle Mayor, 2981; 67826; Murcia; 260979; +34 666 345 456; 13; 60
  restaurante economico; Paseo de Gracia, 5121; 18395; Murcia; 989895; +34 666 206 456; 48; 64
  guisos con encanto; Avenida de la Paz, 641; 67472; Sevilla; 257177; +34 666 451 456; 32; 46
  bebidas original; Calle Mayor, 2901; 44485; Bilbao; 920779; +34 666 980 456; 25; 5
  carne delicioso; Paseo de Gracia, 751; 47105; Alicante; 329305; +34 666 311 456; 11; 18
  bar vegano; Paseo de Gracia, 5891; 42834; Sevilla; 182682; +34 666 234 456; 93; 84
  bar economico; Plaza de Espanya, 4811; 61606; Zaragoza; 826003; +34 666 621 456; 39; 90
  carne fresco; Paseo de Gracia, 2591; 12683; Zaragoza; 369833; +34 666 910 456; 31; 81
  dulces casero; Plaza de Espanya, 7191; 36155; Sevilla; 484581; +34 666 78 456; 81; 63
  salados diferente; Avenida de la Paz, 8381; 56841; Malaga; 754801; +34 666 613 456; 23; 41
  guisos creativo; Paseo de Gracia, 7101; 35047; Madrid; 537277; +34 666 821 456; 52; 16
  verduras casero; Avenida de la Paz, 6431; 63005; Bilbao; 230440; +34 666 127 456; 90; 50
  dulces delicioso; Paseo de Gracia, 6511; 16959; Madrid; 279934; +34 666 590 456; 38; 72
  tacos moderno; Plaza de Espanya, 8461; 44588; Alicante; 160927; +34 666 570 456; 77; 13
  cafeteria moderno; Calle Mayor, 3631; 25106; Murcia; 279885; +34 666 40 456; 15; 82
  sushi casero; Avenida de la Paz, 4521; 34556; Zaragoza; 960216; +34 666 538 456; 88; 73
  tacos familiar; Plaza de Espanya, 9491; 45868; Alicante; 644410; +34 666 217 456; 89; 6
  bebidas vegetariano; Paseo de Gracia, 1901; 66300; Madrid; 242848; +34 666 624 456; 2; 85
  sopas innovador; Plaza de Espanya, 1251; 21409; Bilbao; 660285; +34 666 317 456; 64; 9
  picantes familiar; Plaza de Espanya, 6661; 53920; Barcelona; 311272; +34 666 30 456; 26; 45
  fritas vegetariano; Plaza del Sol, 3901; 64605; Zaragoza; 621265; +34 666 978 456; 89; 58
  falafel familiar; Calle Mayor, 6641; 62678; Murcia; 459716; +34 666 667 456; 98; 9
  bar atractivo; Paseo de Gracia, 4251; 52876; Murcia; 313018; +34 666 119 456; 45; 95
  carne familiar; Paseo de Gracia, 1021; 42546; Sevilla; 996675; +34 666 774 456; 59; 69
  pollo atractivo; Avenida de la Paz, 3051; 43257; Barcelona; 98778; +34 666 806 456; 11; 59
  hamburgueseria familiar; Plaza de Espanya, 3231; 63407; Valencia; 815909; +34 666 378 456; 91; 96
  sushi sabroso; Avenida de la Paz, 6571; 35871; Malaga; 896509; +34 666 899 456; 64; 82
  bar vegano; Calle Mayor, 741; 34168; Barcelona; 91163; +34 666 670 456; 52; 88
  pizzeria con encanto; Plaza del Sol, 2611; 30960; Barcelona; 169901; +34 666 201 456; 15; 71
  pescado vegano; Avenida de la Paz, 311; 27588; Valencia; 339647; +34 666 234 456; 21; 61
  calientes innovador; Calle Mayor, 8111; 24907; Bilbao; 588059; +34 666 907 456; 6; 97
  restaurante apetitoso; Calle Mayor, 4761; 13819; Valencia; 309325; +34 666 177 456; 91; 70
  restaurante sano; Avenida de la Paz, 2061; 50496; Sevilla; 444273; +34 666 27 456; 74; 12
  guisos economico; Paseo de Gracia, 631; 33334; Malaga; 290495; +34 666 249 456; 33; 100
  pescado economico; Avenida de la Paz, 631; 11950; Murcia; 293569; +34 666 599 456; 1; 57
  frutas vegetariano; Plaza de Espanya, 6121; 16357; Valencia; 576258; +34 666 772 456; 12; 78
  picantes original; Plaza del Sol, 4321; 50628; Malaga; 304655; +34 666 937 456; 69; 49
  picantes sano; Plaza del Sol, 7991; 36815; Zaragoza; 519935; +34 666 760 456; 26; 73
  veganos exquisito; Paseo de Gracia, 1721; 33199; Valencia; 36571; +34 666 334 456; 98; 25
  carne sano; Paseo de Gracia, 331; 22279; Bilbao; 963960; +34 666 700 456; 98; 82
  dulces delicioso; Paseo de Gracia, 5401; 42328; Malaga; 284586; +34 666 480 456; 76; 70
  calientes vegano; Avenida de la Paz, 2981; 42130; Malaga; 813232; +34 666 133 456; 23; 26
  pollo economico; Calle Mayor, 6611; 24093; Alicante; 465461; +34 666 997 456; 19; 59
  frutas tentador; Plaza de Espanya, 6121; 29620; Bilbao; 603472; +34 666 998 456; 35; 26
  horneados familiar; Plaza de Espanya, 9681; 61170; Valencia; 79168; +34 666 37 456; 79; 22
  salados sano; Avenida de la Paz, 2201; 32086; Zaragoza; 194803; +34 666 261 456; 87; 71
  veganos delicioso; Avenida de la Paz, 7941; 50661; Murcia; 723170; +34 666 927 456; 96; 3
  ensaladas sano; Plaza de Espanya, 5431; 55371; Malaga; 865081; +34 666 123 456; 54; 46
  pasta con encanto; Plaza del Sol, 71; 37314; Zaragoza; 709907; +34 666 811 456; 10; 6
  restaurante atractivo; Calle Mayor, 8411; 35779; Barcelona; 364899; +34 666 268 456; 7; 25
  horneados diferente; Plaza del Sol, 9651; 41565; Murcia; 276226; +34 666 734 456; 42; 36
  ensaladas fresco; Paseo de Gracia, 2511; 63935; Sevilla; 338009; +34 666 47 456; 72; 36
  falafel creativo; Calle Mayor, 3221; 34473; Barcelona; 8134; +34 666 123 456; 6; 16
  dulces sano; Plaza de Espanya, 2571; 54730; Murcia; 637645; +34 666 685 456; 74; 31
  sopas sabroso; Plaza de Espanya, 3021; 49943; Murcia; 312416; +34 666 623 456; 60; 44
  restaurante vegetariano; Plaza de Espanya, 7551; 28730; Alicante; 794371; +34 666 832 456; 34; 4
  falafel rico; Avenida de la Paz, 6701; 68699; Bilbao; 921753; +34 666 820 456; 71; 32
  salados delicioso; Plaza del Sol, 2611; 53309; Barcelona; 713576; +34 666 557 456; 85; 36
  picantes exotico; Plaza de Espanya, 4561; 15493; Zaragoza; 114178; +34 666 614 456; 14; 89
  pescado familiar; Paseo de Gracia, 2101; 59641; Barcelona; 875979; +34 666 91 456; 92; 90
  sopas moderno; Plaza de Espanya, 2121; 58100; Valencia; 390651; +34 666 852 456; 89; 100
